"TCGA.AR.A255.01"	"TCGA.BH.A1FH.01"	"TCGA.BH.A0HB.01"	"TCGA.BH.A0W4.01"	"TCGA.BH.A0BA.01"	"TCGA.B6.A0IJ.01"	"TCGA.E9.A1R0.01"	"TCGA.AR.A0TV.01"	"TCGA.C8.A26W.01"	"TCGA.A1.A0SI.01"	"TCGA.C8.A132.01"	"TCGA.BH.A1FL.01"	"TCGA.D8.A27K.01"	"TCGA.AR.A1AU.01"	"TCGA.BH.A1EN.01"	"TCGA.BH.A1FU.01"	"TCGA.D8.A1JJ.01"	"TCGA.AO.A126.01"	"TCGA.BH.A0EA.01"	"TCGA.BH.A1EO.01"	"TCGA.D8.A142.01"	"TCGA.AQ.A1H3.01"	"TCGA.D8.A1XA.01"	"TCGA.A7.A13G.01"	"TCGA.A8.A06Z.01"	"TCGA.A2.A0CZ.01"	"TCGA.BH.A0HP.01"	"TCGA.A8.A08F.01"	"TCGA.E2.A159.01"	"TCGA.C8.A12Y.01"	"TCGA.E2.A1IU.01"	"TCGA.D8.A1XG.01"
"ENSG00000000003"	1991	3050	1782	4461	4044	1578	3259	154	4261	3003	1774	6961	6801	1546	5016	3846	1212	2371	3982	6475	5852	3796	969	1009	5676	3524	6988	1270	3996	3751	857	1551
"ENSG00000000005"	143	344	10	103	305	1	353	1	13	6	8	81	5	94	677	3	0	2	56	3506	52	121	26	65	2	70	57	1	6	7	5	1
"ENSG00000000419"	4269	1820	2030	1795	1087	5217	1701	2285	3239	2984	1985	2389	1772	1504	2382	1245	3183	1383	1093	3851	3264	2256	2394	547	3978	1032	1958	2478	3285	2849	1695	1537
"ENSG00000000457"	1896	778	831	1587	1062	1598	1772	1117	2159	3372	1775	4781	4659	1845	1623	1360	1825	1502	2841	1234	1574	5886	934	3914	2850	978	2877	1688	1350	1600	1930	2565
"ENSG00000000460"	695	215	347	540	288	1468	541	636	1492	2194	539	1355	1203	550	343	624	1223	315	720	425	1617	1319	409	799	1095	144	971	529	1323	834	463	949
"ENSG00000000938"	555	964	626	403	480	1676	563	970	593	409	552	353	441	321	1280	346	479	369	633	4549	1016	727	305	289	376	467	402	1044	1421	338	336	206
"ENSG00000000971"	5493	9961	1619	1923	7668	1083	4841	1682	4226	8216	4271	3055	4108	1767	11426	4182	5045	3546	3632	33038	4873	6110	1345	1790	773	3692	4305	3380	4078	3360	1290	1498
"ENSG00000001036"	3302	2947	6165	3195	2445	3949	2670	6779	8304	5424	3744	2593	3309	3196	4548	2474	9679	2328	2032	8693	4602	4131	1512	1391	8844	1865	3640	4798	5457	5222	2779	3018
"ENSG00000001084"	3053	1734	2156	4246	3243	3579	6691	4273	3084	1800	1661	1937	2364	1415	3938	4400	6886	1111	1857	5617	9678	1649	1186	1493	5951	1361	2962	1116	1820	2719	4496	4256
"ENSG00000001167"	6064	1646	1449	5471	2052	5935	4280	2932	5098	4423	3433	6020	5878	2097	2517	5074	8405	2226	2255	2667	24185	5837	1668	2642	3096	1338	3418	2288	6660	4149	2618	2680
