Sample,Gene,Pct_Cells_Expressing,Mean_Expression,Mean_Expression_Positive_Cells,Max_Expression
CAR-T10191179,CD8A,16.2%,0.000,2.052,4.928
CAR-T10191179,CD8B,60.8%,0.000,0.640,1.926
CAR-T10191179,CD4,2.3%,-0.002,5.956,10.000
CAR-T10191179,GZMA,63.0%,0.000,0.598,1.801
CAR-T10191179,GZMB,2.5%,-0.000,5.722,10.000
CAR-T10191179,PRF1,55.7%,-0.000,0.762,2.901
CAR-T10191179,NKG7,51.1%,-0.000,0.800,2.884
CAR-T10191179,GNLY,11.2%,0.000,2.476,5.572
CAR-T10191179,HAVCR2,55.6%,-0.000,0.776,2.519
CAR-T10191179,LAG3,53.7%,-0.000,0.819,2.880
CAR-T10191179,TIGIT,57.4%,-0.000,0.727,2.746
CAR-T10191179,MKI67,21.8%,-0.000,1.694,4.667
CAR-T10191179,CCR7,24.6%,-0.000,1.603,4.049
CAR-T10191179,SELL,53.4%,-0.000,0.812,3.031
CAR-T10191179,IL7R,47.4%,-0.000,0.943,3.005
CAR-T10191179,TNF,0.5%,-0.022,8.526,10.000
CAR-T10191179,FOXP3,0.5%,-0.021,8.568,10.000
CAR-T10191179,TBX21,3.6%,-0.000,4.808,8.487
CAR-T10191179,GZMK,63.0%,-0.000,0.467,1.523
CAR-T10191179,FXYD2,59.9%,0.000,0.601,1.913
CAR-T10191179,HMOX1,53.1%,-0.000,0.832,2.531
CAR-T10191179,GPR183,54.4%,-0.000,0.818,3.252
CAR-T10191179,TOX,56.6%,-0.000,0.771,2.641
CAR-T10191180,CD8A,21.0%,0.000,1.859,3.406
CAR-T10191180,CD8B,22.9%,-0.000,1.765,3.086
CAR-T10191180,CD4,25.0%,0.000,1.670,3.754
CAR-T10191180,GZMA,24.5%,0.000,1.684,3.025
CAR-T10191180,GZMB,13.0%,-0.000,2.463,4.709
CAR-T10191180,PRF1,20.5%,-0.000,1.871,4.031
CAR-T10191180,NKG7,24.5%,0.000,1.688,2.601
CAR-T10191180,GNLY,8.9%,-0.000,3.018,5.477
CAR-T10191180,LAG3,8.9%,0.000,3.097,5.787
CAR-T10191180,TIGIT,6.2%,0.000,3.788,6.232
CAR-T10191180,MKI67,0.5%,-0.020,8.633,10.000
CAR-T10191180,CCR7,42.4%,-0.000,1.105,3.076
CAR-T10191180,SELL,61.2%,-0.000,0.676,1.827
CAR-T10191180,IL7R,59.0%,-0.000,0.709,2.086
CAR-T10191180,TNF,2.9%,-0.000,5.566,10.000
CAR-T10191180,FOXP3,5.1%,-0.000,4.101,8.502
CAR-T10191180,TBX21,10.1%,0.000,2.886,5.738
CAR-T10191180,GZMK,10.0%,-0.000,2.888,5.300
CAR-T10191180,FXYD2,1.9%,-0.001,6.909,10.000
CAR-T10191180,EOMES,3.2%,0.000,5.361,8.497
CAR-T10191180,TOX,8.3%,0.000,3.231,6.235
CAR-T10191181,CD8A,4.3%,0.000,4.565,8.729
CAR-T10191181,GZMA,23.1%,0.000,1.778,2.739
CAR-T10191181,GZMB,22.3%,0.000,1.813,3.112
CAR-T10191181,PRF1,23.4%,0.000,1.762,2.659
